soil_type,sowing_month,harvest_month,water_source,soil_ph,temperature,nitrogen_N,phosphorus_P,potassium_K,seed_variety
Loamy soil,Jul,Oct,rainfed,6.8,31.2,94.2,45.0,43.0,Kainat-1121
Clay soil,Jun,Sep,irrigated,7.3,26.8,94.5,55.4,50.0,Kainat-1121
Alluvial soil,Jul,Oct,rainfed,5.3,24.1,90.6,52.0,49.3,Super Basmati
Loamy soil,Jun,Sep,irrigated,7.9,31.0,86.9,45.1,51.8,1509 Rice
Clay soil,Jul,Oct,rainfed,6.4,28.1,81.5,53.2,50.5,Super Basmati
Alluvial soil,Jun,Sep,irrigated,5.3,34.5,91.6,45.5,54.5,1509 Rice
Loamy soil,Jul,Oct,rainfed,7.5,36.1,99.9,56.2,47.9,Kainat-1121
Clay soil,Jun,Sep,irrigated,7.0,36.6,81.0,56.2,51.0,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.5,22.2,89.5,56.9,59.3,Super Basmati
Loamy soil,Jun,Sep,irrigated,8.0,32.0,93.7,48.9,47.3,Kainat-1121
Clay soil,Jul,Oct,rainfed,5.7,37.7,90.8,45.4,43.7,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.0,37.2,89.3,42.0,52.4,IRRI-6
Loamy soil,Jul,Oct,rainfed,5.6,27.9,92.4,42.5,43.1,Basmati
Clay soil,Jun,Sep,irrigated,5.5,25.8,87.7,59.0,46.0,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.1,31.9,93.4,53.4,55.1,1509 Rice
Loamy soil,Jun,Sep,irrigated,7.3,31.6,91.5,48.8,57.1,1509 Rice
Clay soil,Jul,Oct,rainfed,5.9,31.0,83.2,49.4,54.2,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.5,21.9,87.6,44.6,52.0,Basmati
Loamy soil,Jul,Oct,rainfed,7.3,34.9,82.5,46.5,56.3,1509 Rice
Clay soil,Jun,Sep,irrigated,6.6,22.3,83.1,56.8,54.9,Super Basmati
Alluvial soil,Jul,Oct,rainfed,7.9,38.5,82.6,48.4,51.2,IRRI-6
Loamy soil,Jun,Sep,irrigated,7.5,23.1,99.3,54.4,40.7,Basmati
Clay soil,Jul,Oct,rainfed,7.9,38.5,94.6,55.9,42.5,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.5,39.3,94.4,48.5,53.5,Kainat-1121
Loamy soil,Jul,Oct,rainfed,7.3,24.4,93.9,51.8,46.7,Kainat-1121
Clay soil,Jun,Sep,irrigated,7.9,24.1,93.9,53.1,48.1,Super Basmati
Alluvial soil,Jul,Oct,rainfed,7.4,21.0,96.3,44.0,42.0,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.5,24.1,94.9,45.2,54.0,Basmati
Clay soil,Jul,Oct,rainfed,5.1,34.5,91.9,51.0,50.7,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.8,35.6,80.3,51.1,55.8,1509 Rice
Loamy soil,Jul,Oct,rainfed,7.7,33.3,93.1,46.0,52.0,1509 Rice
Clay soil,Jun,Sep,irrigated,6.5,35.5,87.1,44.0,45.1,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.6,40.0,80.5,45.1,52.8,1509 Rice
Loamy soil,Jun,Sep,irrigated,5.1,21.3,86.2,53.9,50.9,Super Basmati
Clay soil,Jul,Oct,rainfed,7.9,30.2,85.0,54.2,54.6,1509 Rice
Alluvial soil,Jun,Sep,irrigated,6.1,36.0,91.7,57.9,46.5,Super Basmati
Loamy soil,Jul,Oct,rainfed,5.1,36.1,96.6,56.9,54.1,1509 Rice
Clay soil,Jun,Sep,irrigated,7.0,24.1,92.4,49.1,40.0,Kainat-1121
Alluvial soil,Jul,Oct,rainfed,7.0,21.3,85.9,41.4,49.4,Basmati
Loamy soil,Jun,Sep,irrigated,5.2,27.4,85.2,55.3,40.6,Super Basmati
Clay soil,Jul,Oct,rainfed,6.2,21.7,97.1,55.9,56.7,Super Basmati
Alluvial soil,Jun,Sep,irrigated,6.3,36.0,84.6,44.3,57.6,1509 Rice
Loamy soil,Jul,Oct,rainfed,6.9,24.6,89.9,44.1,59.4,1509 Rice
Clay soil,Jun,Sep,irrigated,5.1,30.5,99.6,54.7,57.1,1509 Rice
Alluvial soil,Jul,Oct,rainfed,5.9,25.6,92.1,50.3,58.6,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.7,29.4,85.2,40.5,44.1,Basmati
Clay soil,Jul,Oct,rainfed,5.5,28.2,98.7,52.4,48.7,Kainat-1121
Alluvial soil,Jun,Sep,irrigated,5.4,39.4,92.9,57.4,50.4,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.6,28.1,99.0,57.9,51.0,Super Basmati
Clay soil,Jun,Sep,irrigated,7.0,30.5,80.1,45.5,57.6,1509 Rice
Alluvial soil,Jul,Oct,rainfed,7.0,20.7,84.0,49.0,53.9,1509 Rice
Loamy soil,Jun,Sep,irrigated,7.6,32.9,98.1,45.0,43.3,1509 Rice
Clay soil,Jul,Oct,rainfed,7.8,26.1,83.5,59.4,59.4,Super Basmati
Alluvial soil,Jun,Sep,irrigated,7.0,26.5,92.5,41.8,56.5,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.5,30.0,85.1,59.0,47.0,Super Basmati
Clay soil,Jun,Sep,irrigated,6.7,26.0,96.6,46.9,45.8,Kainat-1121
Alluvial soil,Jul,Oct,rainfed,6.3,31.2,83.7,57.7,41.4,Super Basmati
Loamy soil,Jun,Sep,irrigated,6.2,24.0,86.7,44.4,50.2,Basmati
Clay soil,Jul,Oct,rainfed,5.0,23.3,95.4,46.1,42.7,Basmati
Alluvial soil,Jun,Sep,irrigated,5.1,28.4,85.0,50.6,50.4,Super Basmati
Loamy soil,Jul,Oct,rainfed,7.3,30.7,97.5,43.9,55.9,1509 Rice
Clay soil,Jun,Sep,irrigated,6.1,27.5,80.2,55.2,51.7,Super Basmati
Alluvial soil,Jul,Oct,rainfed,5.4,21.7,93.2,53.1,50.4,Super Basmati
Loamy soil,Jun,Sep,irrigated,5.4,31.6,88.6,42.8,43.1,IRRI-6
Clay soil,Jul,Oct,rainfed,7.2,39.0,94.2,40.1,51.1,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.5,31.5,84.6,41.6,43.8,Basmati
Loamy soil,Jul,Oct,rainfed,6.9,35.1,90.8,44.8,43.0,1509 Rice
Clay soil,Jun,Sep,irrigated,6.7,22.4,94.3,44.4,42.3,Basmati
Alluvial soil,Jul,Oct,rainfed,6.1,21.3,92.4,48.8,54.1,Super Basmati
Loamy soil,Jun,Sep,irrigated,6.9,27.5,86.2,52.4,46.0,Super Basmati
Clay soil,Jul,Oct,rainfed,5.4,21.5,99.8,43.4,49.5,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.6,38.7,99.8,59.5,47.2,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.3,29.9,80.5,45.7,47.4,Basmati
Clay soil,Jun,Sep,irrigated,5.5,24.9,82.0,42.4,57.5,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.0,34.8,83.4,51.6,42.1,Super Basmati
Loamy soil,Jun,Sep,irrigated,6.9,23.9,91.4,55.0,56.2,Super Basmati
Clay soil,Jul,Oct,rainfed,5.6,20.5,83.5,46.4,56.8,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.6,27.9,87.3,56.7,60.0,Super Basmati
Loamy soil,Jul,Oct,rainfed,5.9,27.2,81.3,46.9,53.8,Basmati
Clay soil,Jun,Sep,irrigated,6.4,33.5,99.8,59.0,54.4,1509 Rice
Alluvial soil,Jul,Oct,rainfed,6.0,25.0,92.7,51.5,52.9,Super Basmati
Loamy soil,Jun,Sep,irrigated,5.7,22.5,87.7,47.6,58.9,Basmati
Clay soil,Jul,Oct,rainfed,5.9,20.3,84.3,46.7,41.9,Basmati
Alluvial soil,Jun,Sep,irrigated,6.4,39.7,86.8,43.8,55.8,1509 Rice
Loamy soil,Jul,Oct,rainfed,5.9,22.4,94.7,57.2,54.4,Super Basmati
Clay soil,Jun,Sep,irrigated,6.4,37.7,93.3,52.3,59.2,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.5,27.0,89.1,56.8,51.3,Super Basmati
Loamy soil,Jun,Sep,irrigated,5.5,20.3,82.4,42.7,45.7,Basmati
Clay soil,Jul,Oct,rainfed,8.0,24.0,82.6,54.9,49.0,Super Basmati
Alluvial soil,Jun,Sep,irrigated,5.4,37.6,87.9,56.2,45.3,IRRI-6
Loamy soil,Jul,Oct,rainfed,7.2,28.8,88.9,49.7,57.6,1509 Rice
Clay soil,Jun,Sep,irrigated,5.3,22.1,93.6,57.9,51.7,IRRI-6
Alluvial soil,Jul,Oct,rainfed,5.1,34.9,98.1,59.3,53.7,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.0,29.7,99.7,40.1,48.5,Kainat-1121
Clay soil,Jul,Oct,rainfed,6.2,30.0,81.0,43.6,42.7,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.8,30.9,94.2,46.2,57.6,1509 Rice
Loamy soil,Jul,Oct,rainfed,6.5,36.0,88.7,46.9,58.0,1509 Rice
Clay soil,Jun,Sep,irrigated,7.4,35.8,87.1,57.4,59.0,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.3,26.1,95.6,53.3,44.7,Kainat-1121
Loamy soil,Jun,Sep,irrigated,6.1,29.9,83.9,44.8,44.6,Basmati
Clay soil,Jul,Oct,rainfed,5.3,26.1,83.1,51.3,40.0,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.6,24.7,96.6,52.4,50.2,Kainat-1121
Loamy soil,Jul,Oct,rainfed,7.9,24.8,83.9,48.3,52.5,Basmati
Clay soil,Jun,Sep,irrigated,5.5,31.9,92.4,52.9,45.3,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.7,38.8,84.6,48.9,44.8,Super Basmati
Loamy soil,Jun,Sep,irrigated,5.8,33.4,97.1,48.9,40.8,IRRI-6
Clay soil,Jul,Oct,rainfed,6.1,21.2,85.1,58.1,54.2,Super Basmati
Alluvial soil,Jun,Sep,irrigated,5.3,34.5,81.9,53.3,42.7,IRRI-6
Loamy soil,Jul,Oct,rainfed,6.6,24.7,90.5,56.6,54.4,Super Basmati
Clay soil,Jun,Sep,irrigated,6.3,39.0,92.8,47.1,46.3,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.5,24.7,95.5,53.1,44.4,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.5,39.7,92.3,44.2,48.7,IRRI-6
Clay soil,Jul,Oct,rainfed,5.5,39.3,98.7,46.9,44.1,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.5,39.9,92.1,59.9,52.8,Kainat-1121
Loamy soil,Jul,Oct,rainfed,7.8,32.7,96.2,50.2,56.7,1509 Rice
Clay soil,Jun,Sep,irrigated,5.6,28.6,98.3,57.0,51.8,Kainat-1121
Alluvial soil,Jul,Oct,rainfed,7.3,24.5,86.7,41.0,40.4,Basmati
Loamy soil,Jun,Sep,irrigated,6.1,24.6,95.9,58.6,41.0,Basmati
Clay soil,Jul,Oct,rainfed,6.6,33.1,90.6,54.5,56.7,1509 Rice
Alluvial soil,Jun,Sep,irrigated,6.6,31.8,96.4,60.0,45.3,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.1,25.8,91.5,59.3,59.6,Super Basmati
Clay soil,Jun,Sep,irrigated,8.0,33.7,91.7,40.5,48.8,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.9,23.0,83.8,57.0,45.7,Super Basmati
Loamy soil,Jun,Sep,irrigated,7.6,27.4,88.2,41.0,42.8,Basmati
Clay soil,Jul,Oct,rainfed,6.1,30.4,89.9,45.8,42.1,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.7,32.4,98.5,51.8,47.0,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.6,27.1,94.7,40.2,47.2,Kainat-1121
Clay soil,Jun,Sep,irrigated,5.5,30.9,82.8,44.1,53.5,IRRI-6
Alluvial soil,Jul,Oct,rainfed,5.9,23.2,98.0,41.3,59.6,Basmati
Loamy soil,Jun,Sep,irrigated,5.2,24.6,96.3,55.7,54.7,Kainat-1121
Clay soil,Jul,Oct,rainfed,5.3,25.7,80.1,54.8,42.8,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.7,32.9,95.1,40.5,52.3,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.1,37.6,99.0,54.0,46.2,IRRI-6
Clay soil,Jun,Sep,irrigated,5.6,26.6,85.4,46.6,48.7,IRRI-6
Alluvial soil,Jul,Oct,rainfed,5.7,24.4,85.3,48.2,54.5,Basmati
Loamy soil,Jun,Sep,irrigated,6.7,33.5,92.3,58.4,42.7,Super Basmati
Clay soil,Jul,Oct,rainfed,5.3,24.9,86.6,55.9,46.8,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.2,23.4,93.1,57.7,48.3,Kainat-1121
Loamy soil,Jul,Oct,rainfed,7.0,30.8,89.2,57.1,43.7,Super Basmati
Clay soil,Jun,Sep,irrigated,5.2,34.2,84.5,57.5,54.8,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.2,23.6,88.4,56.0,59.0,Super Basmati
Loamy soil,Jun,Sep,irrigated,8.0,24.7,82.3,49.7,53.5,Basmati
Clay soil,Jul,Oct,rainfed,6.8,32.4,99.8,56.8,48.2,Kainat-1121
Alluvial soil,Jun,Sep,irrigated,7.1,30.0,99.3,59.3,44.6,Kainat-1121
Loamy soil,Jul,Oct,rainfed,7.7,37.8,94.0,43.8,47.3,IRRI-6
Clay soil,Jun,Sep,irrigated,5.3,24.1,90.1,40.9,43.0,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.9,31.3,92.1,55.6,47.6,Kainat-1121
Loamy soil,Jun,Sep,irrigated,7.4,39.4,87.8,58.1,56.8,1509 Rice
Clay soil,Jul,Oct,rainfed,7.7,35.1,89.9,48.3,50.9,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.6,28.4,99.0,49.0,52.7,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.5,29.3,86.2,40.4,55.8,1509 Rice
Clay soil,Jun,Sep,irrigated,5.2,33.9,88.2,42.2,42.7,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.3,22.0,90.8,47.3,41.1,Basmati
Loamy soil,Jun,Sep,irrigated,6.6,26.0,91.9,45.3,48.8,Super Basmati
Clay soil,Jul,Oct,rainfed,7.9,22.8,90.7,44.3,45.4,Basmati
Alluvial soil,Jun,Sep,irrigated,5.8,21.9,89.4,59.1,57.7,Super Basmati
Loamy soil,Jul,Oct,rainfed,6.3,28.0,81.7,41.5,50.5,Basmati
Clay soil,Jun,Sep,irrigated,6.2,20.7,87.1,44.1,53.8,Basmati
Alluvial soil,Jul,Oct,rainfed,5.0,21.2,92.3,55.3,50.9,Super Basmati
Loamy soil,Jun,Sep,irrigated,5.5,23.6,80.3,50.2,51.6,Basmati
Clay soil,Jul,Oct,rainfed,6.8,39.4,86.7,58.6,46.4,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.5,26.3,89.9,54.9,55.1,Super Basmati
Loamy soil,Jul,Oct,rainfed,7.3,34.0,89.6,47.0,42.5,1509 Rice
Clay soil,Jun,Sep,irrigated,7.1,28.0,81.5,49.1,56.9,1509 Rice
Alluvial soil,Jul,Oct,rainfed,5.7,25.5,96.4,48.7,58.7,Kainat-1121
Loamy soil,Jun,Sep,irrigated,6.0,30.6,86.1,47.8,58.8,1509 Rice
Clay soil,Jul,Oct,rainfed,7.9,25.1,90.6,54.5,56.9,Super Basmati
Alluvial soil,Jun,Sep,irrigated,7.6,33.2,96.4,53.7,58.3,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.1,36.2,80.7,46.1,56.0,1509 Rice
Clay soil,Jun,Sep,irrigated,7.9,26.4,93.3,52.6,56.4,1509 Rice
Alluvial soil,Jul,Oct,rainfed,6.0,20.9,85.4,41.2,54.2,Basmati
Loamy soil,Jun,Sep,irrigated,5.4,36.7,88.0,57.5,44.5,IRRI-6
Clay soil,Jul,Oct,rainfed,6.4,33.5,92.3,57.4,54.3,1509 Rice
Alluvial soil,Jun,Sep,irrigated,7.1,30.6,84.9,50.0,42.1,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.8,21.5,81.8,47.4,54.6,1509 Rice
Clay soil,Jun,Sep,irrigated,7.0,24.5,84.3,54.2,51.8,Super Basmati
Alluvial soil,Jul,Oct,rainfed,7.2,28.7,81.7,47.8,40.4,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.2,23.2,84.4,55.0,53.9,Super Basmati
Clay soil,Jul,Oct,rainfed,5.8,29.6,85.6,49.9,44.9,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.2,38.7,81.7,45.2,42.6,IRRI-6
Loamy soil,Jul,Oct,rainfed,6.5,27.3,97.6,49.2,42.3,Kainat-1121
Clay soil,Jun,Sep,irrigated,7.2,34.1,83.3,41.4,57.2,1509 Rice
Alluvial soil,Jul,Oct,rainfed,7.9,33.0,87.5,42.9,42.1,IRRI-6
Loamy soil,Jun,Sep,irrigated,5.2,28.1,99.7,59.5,41.7,Kainat-1121
Clay soil,Jul,Oct,rainfed,5.5,32.0,94.8,46.3,51.9,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.8,33.2,95.6,40.4,49.5,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.4,31.2,83.0,57.6,42.7,Super Basmati
Clay soil,Jun,Sep,irrigated,7.4,24.2,91.1,43.4,59.3,1509 Rice
Alluvial soil,Jul,Oct,rainfed,7.0,36.2,85.0,40.7,44.7,IRRI-6
Loamy soil,Jun,Sep,irrigated,6.5,23.3,84.0,48.5,40.2,Basmati
Clay soil,Jul,Oct,rainfed,7.4,31.1,98.9,51.2,47.5,Kainat-1121
Alluvial soil,Jun,Sep,irrigated,6.4,23.1,90.8,57.3,45.0,Super Basmati
Loamy soil,Jul,Oct,rainfed,7.7,24.7,88.9,50.3,46.8,Super Basmati
Clay soil,Jun,Sep,irrigated,6.2,27.2,98.4,41.2,48.5,Kainat-1121
Alluvial soil,Jul,Oct,rainfed,5.1,32.1,90.7,44.7,44.5,IRRI-6
Loamy soil,Jun,Sep,irrigated,7.2,20.1,81.5,55.5,51.9,Super Basmati
Clay soil,Jul,Oct,rainfed,7.2,37.2,98.0,41.5,51.4,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.3,36.5,89.6,46.5,58.6,1509 Rice
Loamy soil,Jul,Oct,rainfed,7.2,27.2,83.2,43.3,49.5,Basmati
Clay soil,Jun,Sep,irrigated,6.7,20.8,87.5,53.6,55.1,Super Basmati
Alluvial soil,Jul,Oct,rainfed,5.1,39.6,86.1,56.9,49.5,Super Basmati
Loamy soil,Jun,Sep,irrigated,5.7,37.4,94.3,55.2,57.2,1509 Rice
Clay soil,Jul,Oct,rainfed,7.7,34.4,82.9,48.2,48.5,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.5,24.3,96.3,49.6,41.5,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.4,35.1,93.3,50.7,57.3,1509 Rice
Clay soil,Jun,Sep,irrigated,5.5,38.4,90.9,52.3,40.8,IRRI-6
Alluvial soil,Jul,Oct,rainfed,5.8,26.6,82.8,54.9,44.2,Super Basmati
Loamy soil,Jun,Sep,irrigated,8.0,25.0,91.5,59.9,59.5,Super Basmati
Clay soil,Jul,Oct,rainfed,7.7,23.4,93.1,48.1,55.9,1509 Rice
Alluvial soil,Jun,Sep,irrigated,6.1,29.3,92.7,46.4,56.6,1509 Rice
Loamy soil,Jul,Oct,rainfed,7.2,35.6,82.2,48.7,49.3,1509 Rice
Clay soil,Jun,Sep,irrigated,7.6,20.0,82.6,48.8,41.6,Basmati
Alluvial soil,Jul,Oct,rainfed,7.9,34.7,97.0,55.3,40.9,Kainat-1121
Loamy soil,Jun,Sep,irrigated,7.2,21.6,99.2,55.8,49.2,Kainat-1121
Clay soil,Jul,Oct,rainfed,5.8,23.2,93.6,55.2,57.9,Super Basmati
Alluvial soil,Jun,Sep,irrigated,6.4,31.8,91.8,51.7,41.7,Super Basmati
Loamy soil,Jul,Oct,rainfed,7.8,26.3,96.3,48.2,50.9,Kainat-1121
Clay soil,Jun,Sep,irrigated,6.7,29.3,99.9,41.2,41.3,Kainat-1121
Alluvial soil,Jul,Oct,rainfed,6.0,29.7,96.1,51.4,43.7,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.6,25.7,96.0,50.2,40.5,Basmati
Clay soil,Jul,Oct,rainfed,7.1,37.2,99.8,56.5,48.6,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.3,39.4,99.7,44.1,52.2,IRRI-6
Loamy soil,Jul,Oct,rainfed,5.3,34.7,95.1,48.3,57.0,1509 Rice
Clay soil,Jun,Sep,irrigated,5.4,26.1,85.5,42.5,59.0,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.7,38.9,99.2,51.9,42.3,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.4,37.9,99.3,41.5,51.6,IRRI-6
Clay soil,Jul,Oct,rainfed,7.6,28.3,87.9,56.3,53.8,Super Basmati
Alluvial soil,Jun,Sep,irrigated,6.5,27.0,92.0,49.1,42.1,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.2,31.4,99.9,51.9,42.8,Kainat-1121
Clay soil,Jun,Sep,irrigated,7.2,21.5,98.9,59.2,47.3,Kainat-1121
Alluvial soil,Jul,Oct,rainfed,5.3,35.1,81.4,59.3,51.7,IRRI-6
Loamy soil,Jun,Sep,irrigated,8.0,21.9,88.3,53.6,45.4,Basmati
Clay soil,Jul,Oct,rainfed,5.1,32.2,84.1,43.2,40.3,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.5,28.2,88.8,55.1,44.6,Super Basmati
Loamy soil,Jul,Oct,rainfed,6.8,27.0,80.2,59.1,56.1,1509 Rice
Clay soil,Jun,Sep,irrigated,7.0,22.3,82.4,45.8,50.2,Basmati
Alluvial soil,Jul,Oct,rainfed,5.6,26.3,92.4,49.7,47.1,Kainat-1121
Loamy soil,Jun,Sep,irrigated,7.4,36.3,87.1,43.6,58.8,1509 Rice
Clay soil,Jul,Oct,rainfed,6.1,38.4,92.8,40.4,53.7,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.4,24.7,82.6,42.5,42.8,Basmati
Loamy soil,Jul,Oct,rainfed,7.3,34.3,88.3,43.5,55.0,1509 Rice
Clay soil,Jun,Sep,irrigated,7.5,30.9,87.2,47.9,54.1,1509 Rice
Alluvial soil,Jul,Oct,rainfed,5.8,33.9,82.5,53.1,43.2,IRRI-6
Loamy soil,Jun,Sep,irrigated,5.8,32.4,90.5,53.0,41.5,IRRI-6
Clay soil,Jul,Oct,rainfed,6.3,27.0,96.8,55.5,49.4,Super Basmati
Alluvial soil,Jun,Sep,irrigated,7.6,30.9,96.2,44.5,59.5,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.5,28.6,90.5,48.2,51.7,1509 Rice
Clay soil,Jun,Sep,irrigated,5.9,28.1,80.4,40.9,44.6,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.9,36.7,89.2,40.6,52.7,IRRI-6
Loamy soil,Jun,Sep,irrigated,7.3,31.2,96.5,46.9,52.4,1509 Rice
Clay soil,Jul,Oct,rainfed,7.3,34.0,88.6,59.1,43.4,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.2,39.7,84.4,47.8,45.9,Basmati
Loamy soil,Jul,Oct,rainfed,5.4,38.9,93.8,46.8,53.8,1509 Rice
Clay soil,Jun,Sep,irrigated,7.1,23.5,92.7,51.2,42.6,Kainat-1121
Alluvial soil,Jul,Oct,rainfed,7.5,27.0,86.8,58.6,57.1,Super Basmati
Loamy soil,Jun,Sep,irrigated,5.8,21.0,80.9,43.2,52.2,Basmati
Clay soil,Jul,Oct,rainfed,6.1,30.7,82.8,40.9,42.7,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.9,29.5,83.3,58.8,51.0,Super Basmati
Loamy soil,Jul,Oct,rainfed,5.9,33.6,82.3,40.5,44.5,IRRI-6
Clay soil,Jun,Sep,irrigated,7.6,28.1,93.4,41.5,59.2,1509 Rice
Alluvial soil,Jul,Oct,rainfed,6.5,37.7,84.3,50.9,42.6,Super Basmati
Loamy soil,Jun,Sep,irrigated,5.8,21.4,85.3,59.5,58.8,Basmati
Clay soil,Jul,Oct,rainfed,5.1,36.8,87.9,47.4,55.2,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.3,34.3,88.3,57.3,41.0,Super Basmati
Loamy soil,Jul,Oct,rainfed,7.5,35.5,96.5,42.5,59.8,1509 Rice
Clay soil,Jun,Sep,irrigated,6.0,32.5,98.0,49.8,44.6,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.3,24.8,94.2,58.7,40.8,Kainat-1121
Loamy soil,Jun,Sep,irrigated,7.6,23.8,95.0,44.6,43.3,Basmati
Clay soil,Jul,Oct,rainfed,7.5,39.1,81.3,50.5,47.7,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.1,30.9,99.5,52.0,56.6,1509 Rice
Loamy soil,Jul,Oct,rainfed,7.4,36.1,95.3,58.5,49.8,Kainat-1121
Clay soil,Jun,Sep,irrigated,6.6,34.2,90.1,52.6,48.3,Super Basmati
Alluvial soil,Jul,Oct,rainfed,5.3,31.1,80.1,51.5,52.7,1509 Rice
Loamy soil,Jun,Sep,irrigated,6.7,20.9,82.0,42.4,47.2,Basmati
Clay soil,Jul,Oct,rainfed,5.3,21.8,94.5,50.0,42.0,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.1,20.8,85.0,59.2,43.5,Basmati
Loamy soil,Jul,Oct,rainfed,5.7,38.5,80.2,44.1,41.9,IRRI-6
Clay soil,Jun,Sep,irrigated,5.2,29.6,83.0,58.7,51.8,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.3,21.0,84.7,54.1,51.2,Super Basmati
Loamy soil,Jun,Sep,irrigated,7.7,25.5,94.9,44.1,49.2,Kainat-1121
Clay soil,Jul,Oct,rainfed,5.2,36.0,82.2,48.8,48.1,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.0,30.5,97.5,46.9,41.0,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.5,38.3,91.0,40.7,50.3,Super Basmati
Clay soil,Jun,Sep,irrigated,6.0,35.5,80.1,51.8,47.0,IRRI-6
Alluvial soil,Jul,Oct,rainfed,5.1,37.7,84.4,41.3,45.5,IRRI-6
Loamy soil,Jun,Sep,irrigated,6.3,38.4,89.6,44.3,59.3,1509 Rice
Clay soil,Jul,Oct,rainfed,7.2,21.1,85.3,52.7,47.9,Super Basmati
Alluvial soil,Jun,Sep,irrigated,6.9,37.9,87.8,56.0,53.6,Super Basmati
Loamy soil,Jul,Oct,rainfed,5.3,34.6,99.2,57.3,47.9,IRRI-6
Clay soil,Jun,Sep,irrigated,5.9,22.9,81.2,45.8,42.4,Basmati
Alluvial soil,Jul,Oct,rainfed,7.7,27.8,89.7,46.3,44.2,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.7,32.5,92.7,51.8,47.8,IRRI-6
Clay soil,Jul,Oct,rainfed,6.8,26.7,93.7,40.0,52.0,Kainat-1121
Alluvial soil,Jun,Sep,irrigated,6.5,39.1,84.0,49.3,45.8,Super Basmati
Loamy soil,Jul,Oct,rainfed,5.6,24.5,93.7,57.4,45.8,Basmati
Clay soil,Jun,Sep,irrigated,6.4,36.4,83.1,44.4,51.9,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.0,36.3,89.6,51.5,54.3,1509 Rice
