soil_type,sowing_month,harvest_month,water_source,soil_ph,temperature,nitrogen_N,phosphorus_P,potassium_K,seed_variety
Black Soil,Jun,Sep,irrigated,7.2,21.8,109.1,50.9,40.8,FH-333
Red soil,Jul,Oct,rainfed,7.4,23.2,111.1,45.2,44.6,FH-333
Alluvial soil,Jun,Sep,irrigated,7.9,24.2,89.0,46.0,51.2,FH-333
Black Soil,Jul,Oct,rainfed,7.8,25.6,94.1,48.8,47.1,BS-352
Red soil,Jun,Sep,irrigated,7.7,24.4,108.1,48.0,55.4,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.1,25.3,84.4,40.7,41.6,BS-352
Black Soil,Jun,Sep,irrigated,7.8,23.2,106.3,54.4,59.6,Cyto-24
Red soil,Jul,Oct,rainfed,7.9,24.5,87.9,45.0,58.0,BS-352
Alluvial soil,Jun,Sep,irrigated,7.1,23.5,84.3,45.5,40.6,BS-352
Black Soil,Jul,Oct,rainfed,7.8,24.5,113.0,50.1,48.6,Cyto-24
Red soil,Jun,Sep,irrigated,7.0,23.8,95.1,50.6,44.9,BS-352
Alluvial soil,Jul,Oct,rainfed,7.1,21.3,112.6,46.3,59.4,FH-333
Black Soil,Jun,Sep,irrigated,8.0,29.3,112.5,43.3,44.1,Cyto-24
Red soil,Jul,Oct,rainfed,7.9,21.9,101.1,47.9,55.2,FH-1148
Alluvial soil,Jun,Sep,irrigated,8.0,22.5,119.4,57.9,53.0,FH-MR2
Black Soil,Jul,Oct,rainfed,7.3,21.7,83.4,41.0,45.8,FH-333
Red soil,Jun,Sep,irrigated,7.8,25.3,83.1,40.6,58.7,BS-352
Alluvial soil,Jul,Oct,rainfed,7.6,23.6,109.6,43.6,41.6,FH-333
Black Soil,Jun,Sep,irrigated,7.3,26.4,112.0,49.0,42.5,BS-352
Red soil,Jul,Oct,rainfed,7.5,23.7,94.8,49.1,59.0,FH-333
Alluvial soil,Jun,Sep,irrigated,7.3,22.6,84.0,56.4,46.2,FH-333
Black Soil,Jul,Oct,rainfed,7.1,23.4,86.0,57.3,43.2,BS-352
Red soil,Jun,Sep,irrigated,7.2,22.6,84.8,47.3,46.4,BS-352
Alluvial soil,Jul,Oct,rainfed,7.9,23.5,99.6,59.7,42.7,FH-333
Black Soil,Jun,Sep,irrigated,7.3,28.3,91.8,57.8,50.4,FH-MR2
Red soil,Jul,Oct,rainfed,7.4,23.4,114.5,40.0,41.5,BS-352
Alluvial soil,Jun,Sep,irrigated,7.5,26.9,92.0,44.4,55.6,FH-MR2
Black Soil,Jul,Oct,rainfed,7.0,27.2,107.1,45.4,45.8,BS-352
Red soil,Jun,Sep,irrigated,7.6,24.9,113.3,48.3,57.0,Cyto-24
Alluvial soil,Jul,Oct,rainfed,7.3,22.6,96.5,57.8,55.0,FH-333
Black Soil,Jun,Sep,irrigated,7.8,29.7,103.8,43.6,53.4,FH-1148
Red soil,Jul,Oct,rainfed,7.9,21.0,104.2,48.4,59.6,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.7,26.7,116.2,52.7,42.4,Cyto-24
Black Soil,Jul,Oct,rainfed,7.4,28.5,89.8,42.1,44.3,BS-352
Red soil,Jun,Sep,irrigated,7.4,24.5,116.1,46.7,43.4,BS-352
Alluvial soil,Jul,Oct,rainfed,7.1,24.8,84.7,46.3,55.7,FH-333
Black Soil,Jun,Sep,irrigated,7.6,22.1,90.7,52.0,54.4,FH-333
Red soil,Jul,Oct,rainfed,7.8,21.4,94.4,40.1,52.0,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.4,21.6,97.1,44.1,57.9,FH-333
Black Soil,Jul,Oct,rainfed,7.8,27.7,103.6,56.8,40.1,FH-1148
Red soil,Jun,Sep,irrigated,7.2,22.9,90.4,40.0,56.3,BS-352
Alluvial soil,Jul,Oct,rainfed,7.0,26.1,80.4,51.3,55.9,BS-352
Black Soil,Jun,Sep,irrigated,7.2,25.3,97.4,43.5,55.6,FH-333
Red soil,Jul,Oct,rainfed,7.6,24.9,93.3,43.4,45.7,BS-352
Alluvial soil,Jun,Sep,irrigated,7.3,25.9,84.8,57.8,44.0,BS-352
Black Soil,Jul,Oct,rainfed,8.0,24.0,100.0,40.9,53.3,FH-333
Red soil,Jun,Sep,irrigated,7.6,22.5,85.9,42.7,48.6,FH-333
Alluvial soil,Jul,Oct,rainfed,7.1,21.4,108.5,42.8,52.0,FH-333
Black Soil,Jun,Sep,irrigated,7.5,23.0,110.5,59.4,51.5,FH-MR2
Red soil,Jul,Oct,rainfed,7.4,23.8,89.7,54.2,41.7,BS-352
Alluvial soil,Jun,Sep,irrigated,7.8,23.1,106.8,46.1,42.6,FH-333
Black Soil,Jul,Oct,rainfed,7.9,22.3,104.6,59.2,56.3,Cyto-24
Red soil,Jun,Sep,irrigated,7.4,21.1,115.3,44.7,40.6,BS-352
Alluvial soil,Jul,Oct,rainfed,7.1,29.3,91.5,54.8,54.9,FH-MR2
Black Soil,Jun,Sep,irrigated,7.6,25.7,80.7,57.6,46.7,FH-MR2
Red soil,Jul,Oct,rainfed,7.7,25.0,119.9,57.3,45.6,FH-MR2
Alluvial soil,Jun,Sep,irrigated,7.6,28.8,85.1,43.7,58.8,FH-1148
Black Soil,Jul,Oct,rainfed,7.2,28.8,81.7,53.2,40.2,BS-352
Red soil,Jun,Sep,irrigated,7.4,22.3,83.8,47.8,54.1,FH-333
Alluvial soil,Jul,Oct,rainfed,7.9,25.6,108.2,46.1,59.7,Cyto-24
Black Soil,Jun,Sep,irrigated,7.1,29.3,105.1,56.6,54.0,FH-1148
Red soil,Jul,Oct,rainfed,7.1,28.0,101.3,47.4,47.0,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.7,28.2,89.2,54.4,54.5,FH-1148
Black Soil,Jul,Oct,rainfed,7.5,23.6,84.5,43.4,51.5,FH-333
Red soil,Jun,Sep,irrigated,7.8,23.0,98.9,50.9,47.1,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.3,26.7,111.0,44.8,50.7,FH-MR2
Black Soil,Jun,Sep,irrigated,7.9,22.1,90.3,51.8,50.2,FH-333
Red soil,Jul,Oct,rainfed,7.7,23.0,90.2,44.9,44.8,BS-352
Alluvial soil,Jun,Sep,irrigated,7.3,26.4,97.0,40.6,51.3,FH-MR2
Black Soil,Jul,Oct,rainfed,7.9,27.0,109.2,44.5,50.0,FH-1148
Red soil,Jun,Sep,irrigated,7.6,21.7,81.5,51.6,45.6,BS-352
Alluvial soil,Jul,Oct,rainfed,7.7,21.5,100.9,48.6,43.9,FH-333
Black Soil,Jun,Sep,irrigated,7.4,21.5,110.1,49.9,57.9,Cyto-24
Red soil,Jul,Oct,rainfed,7.2,21.3,97.0,40.9,51.2,FH-333
Alluvial soil,Jun,Sep,irrigated,7.7,28.9,118.3,40.2,48.1,FH-1148
Black Soil,Jul,Oct,rainfed,7.8,22.5,108.1,46.9,49.4,FH-333
Red soil,Jun,Sep,irrigated,7.6,21.4,89.9,43.6,54.3,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.0,23.8,96.5,40.5,46.2,FH-333
Black Soil,Jun,Sep,irrigated,7.3,29.3,87.4,48.6,46.0,BS-352
Red soil,Jul,Oct,rainfed,7.8,21.2,107.0,54.1,58.6,FH-1148
Alluvial soil,Jun,Sep,irrigated,8.0,24.1,88.4,42.0,55.1,FH-333
Black Soil,Jul,Oct,rainfed,7.9,21.5,86.6,50.9,50.9,FH-333
Red soil,Jun,Sep,irrigated,7.1,29.5,117.1,42.3,46.7,BS-352
Alluvial soil,Jul,Oct,rainfed,7.9,23.2,84.2,57.6,58.4,FH-333
Black Soil,Jun,Sep,irrigated,7.7,21.6,116.0,43.4,49.4,Cyto-24
Red soil,Jul,Oct,rainfed,7.4,27.2,91.5,53.0,56.9,BS-352
Alluvial soil,Jun,Sep,irrigated,7.2,22.8,119.7,42.1,40.9,FH-333
Black Soil,Jul,Oct,rainfed,7.6,21.6,84.3,47.5,48.3,FH-333
Red soil,Jun,Sep,irrigated,7.5,24.8,84.6,55.2,53.3,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.2,29.1,96.7,56.7,43.8,FH-MR2
Black Soil,Jun,Sep,irrigated,7.2,25.8,103.6,58.5,44.0,FH-MR2
Red soil,Jul,Oct,rainfed,7.1,27.6,97.9,45.7,59.9,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.1,29.9,116.8,50.3,44.7,FH-333
Black Soil,Jul,Oct,rainfed,7.5,21.3,102.7,42.2,52.2,FH-333
Red soil,Jun,Sep,irrigated,7.3,25.1,112.3,43.8,45.8,BS-352
Alluvial soil,Jul,Oct,rainfed,7.8,22.1,99.5,40.5,46.5,FH-333
Black Soil,Jun,Sep,irrigated,7.3,21.1,109.6,55.5,41.0,FH-MR2
Red soil,Jul,Oct,rainfed,7.8,26.6,113.8,46.9,44.0,Cyto-24
Alluvial soil,Jun,Sep,irrigated,7.0,22.1,80.2,41.0,59.4,FH-333
Black Soil,Jul,Oct,rainfed,7.5,28.7,118.9,56.1,42.0,Cyto-24
Red soil,Jun,Sep,irrigated,8.0,21.9,88.9,53.1,53.7,FH-333
Alluvial soil,Jul,Oct,rainfed,7.4,22.6,94.6,56.0,54.7,FH-MR2
Black Soil,Jun,Sep,irrigated,7.7,26.0,115.3,45.9,56.2,Cyto-24
Red soil,Jul,Oct,rainfed,7.5,28.6,91.1,41.0,47.7,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.5,28.5,100.1,57.9,43.5,FH-MR2
Black Soil,Jul,Oct,rainfed,7.7,22.7,89.5,48.1,49.3,FH-333
Red soil,Jun,Sep,irrigated,7.0,25.7,111.4,50.2,42.9,BS-352
Alluvial soil,Jul,Oct,rainfed,7.3,29.7,111.9,46.1,49.6,FH-333
Black Soil,Jun,Sep,irrigated,7.4,22.0,87.6,45.7,51.4,FH-333
Red soil,Jul,Oct,rainfed,7.9,29.3,98.3,59.9,43.1,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.5,28.9,109.3,52.4,41.2,FH-1148
Black Soil,Jul,Oct,rainfed,7.5,24.7,88.5,57.1,52.8,FH-MR2
Red soil,Jun,Sep,irrigated,7.2,21.3,118.1,40.9,49.3,FH-333
Alluvial soil,Jul,Oct,rainfed,7.4,25.6,100.6,41.6,49.4,FH-MR2
Black Soil,Jun,Sep,irrigated,7.4,27.4,91.2,59.9,53.7,FH-MR2
Red soil,Jul,Oct,rainfed,7.5,24.1,82.0,43.3,52.6,FH-333
Alluvial soil,Jun,Sep,irrigated,7.9,23.4,89.7,43.5,55.4,FH-333
Black Soil,Jul,Oct,rainfed,7.4,27.9,103.9,43.8,41.8,FH-1148
Red soil,Jun,Sep,irrigated,7.5,28.6,90.0,48.7,58.6,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.6,28.1,103.7,46.7,59.9,FH-1148
Black Soil,Jun,Sep,irrigated,7.4,21.2,100.4,58.8,40.7,FH-MR2
Red soil,Jul,Oct,rainfed,7.1,21.0,82.2,54.1,56.8,BS-352
Alluvial soil,Jun,Sep,irrigated,7.9,23.4,114.4,44.6,59.0,Cyto-24
Black Soil,Jul,Oct,rainfed,7.7,23.1,99.0,57.0,52.3,FH-MR2
Red soil,Jun,Sep,irrigated,7.8,25.4,106.7,54.8,52.5,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.7,23.8,108.4,53.3,52.9,FH-MR2
Black Soil,Jun,Sep,irrigated,7.1,27.2,81.5,51.8,49.5,BS-352
Red soil,Jul,Oct,rainfed,8.0,21.8,97.2,41.5,42.3,BS-352
Alluvial soil,Jun,Sep,irrigated,7.8,22.0,99.9,50.2,58.0,FH-333
Black Soil,Jul,Oct,rainfed,7.8,23.7,86.3,53.1,55.9,Cyto-24
Red soil,Jun,Sep,irrigated,7.9,26.3,108.3,54.6,47.1,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.8,27.8,87.9,43.7,53.4,FH-1148
Black Soil,Jun,Sep,irrigated,7.3,29.3,99.3,57.3,54.3,FH-MR2
Red soil,Jul,Oct,rainfed,7.1,26.8,94.6,42.7,51.8,BS-352
Alluvial soil,Jun,Sep,irrigated,7.1,28.4,82.4,54.2,51.3,FH-MR2
Black Soil,Jul,Oct,rainfed,7.0,22.3,109.9,51.6,49.5,FH-333
Red soil,Jun,Sep,irrigated,7.1,22.2,112.8,45.1,56.2,FH-333
Alluvial soil,Jul,Oct,rainfed,7.7,23.5,82.9,42.9,53.5,FH-333
Black Soil,Jun,Sep,irrigated,7.5,22.0,93.4,42.3,45.5,FH-333
Red soil,Jul,Oct,rainfed,7.7,27.9,106.3,51.1,56.5,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.3,27.6,113.6,50.5,49.6,FH-MR2
Black Soil,Jul,Oct,rainfed,7.7,21.4,115.6,41.6,52.3,Cyto-24
Red soil,Jun,Sep,irrigated,7.2,26.4,98.9,51.5,56.4,BS-352
Alluvial soil,Jul,Oct,rainfed,7.5,21.9,106.6,51.4,46.1,FH-333
Black Soil,Jun,Sep,irrigated,7.3,26.3,86.7,59.0,48.8,FH-MR2
Red soil,Jul,Oct,rainfed,7.1,28.0,84.3,53.3,44.9,BS-352
Alluvial soil,Jun,Sep,irrigated,7.8,23.7,109.0,43.9,58.2,FH-333
Black Soil,Jul,Oct,rainfed,7.8,27.2,98.1,40.5,44.0,FH-1148
Red soil,Jun,Sep,irrigated,7.5,28.4,118.9,42.8,43.2,FH-1148
Alluvial soil,Jul,Oct,rainfed,8.0,22.1,118.6,44.2,50.9,FH-333
Black Soil,Jun,Sep,irrigated,7.8,26.1,90.4,46.7,59.5,Cyto-24
Red soil,Jul,Oct,rainfed,7.6,28.1,112.3,52.7,50.7,FH-1148
Alluvial soil,Jun,Sep,irrigated,8.0,23.3,86.7,46.6,41.9,FH-333
Black Soil,Jul,Oct,rainfed,7.3,23.7,95.1,52.8,50.1,FH-333
Red soil,Jun,Sep,irrigated,7.9,23.4,86.0,51.7,51.6,FH-333
Alluvial soil,Jul,Oct,rainfed,7.6,21.3,99.9,58.1,47.2,FH-MR2
Black Soil,Jun,Sep,irrigated,7.4,27.9,113.6,58.6,49.0,FH-MR2
Red soil,Jul,Oct,rainfed,7.6,26.0,116.8,51.2,50.1,Cyto-24
Alluvial soil,Jun,Sep,irrigated,7.9,26.9,111.2,44.2,58.3,Cyto-24
Black Soil,Jul,Oct,rainfed,7.5,25.4,82.9,50.4,42.3,BS-352
Red soil,Jun,Sep,irrigated,7.3,22.9,92.6,42.1,41.4,BS-352
Alluvial soil,Jul,Oct,rainfed,7.8,24.1,118.7,50.2,42.0,Cyto-24
Black Soil,Jun,Sep,irrigated,7.2,27.4,80.2,55.4,59.1,Cyto-24
Red soil,Jul,Oct,rainfed,7.9,24.6,96.7,43.8,58.3,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.1,26.1,86.4,41.9,58.0,BS-352
Black Soil,Jul,Oct,rainfed,7.0,28.7,113.4,53.7,51.8,Cyto-24
Red soil,Jun,Sep,irrigated,7.5,29.3,117.8,58.7,46.7,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.8,25.6,100.9,41.0,46.5,FH-MR2
Black Soil,Jun,Sep,irrigated,7.1,22.3,81.0,50.2,42.6,BS-352
Red soil,Jul,Oct,rainfed,7.7,23.9,98.7,53.6,58.6,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.9,22.0,80.4,54.5,49.1,FH-333
Black Soil,Jul,Oct,rainfed,8.0,24.8,84.7,46.0,42.9,BS-352
Red soil,Jun,Sep,irrigated,7.6,21.6,107.0,58.5,43.7,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.1,22.7,101.5,49.4,46.6,FH-333
Black Soil,Jun,Sep,irrigated,7.7,26.9,86.0,41.3,49.1,FH-1148
Red soil,Jul,Oct,rainfed,7.4,25.3,89.8,52.3,50.5,FH-333
Alluvial soil,Jun,Sep,irrigated,7.8,24.1,87.4,45.0,46.3,FH-333
Black Soil,Jul,Oct,rainfed,7.2,22.1,106.5,42.9,41.6,FH-333
Red soil,Jun,Sep,irrigated,8.0,22.0,87.4,41.8,58.6,FH-333
Alluvial soil,Jul,Oct,rainfed,7.7,23.4,90.2,49.2,45.8,FH-333
Black Soil,Jun,Sep,irrigated,7.0,23.4,88.0,54.6,57.1,FH-333
Red soil,Jul,Oct,rainfed,7.3,26.7,92.6,58.1,52.8,FH-MR2
Alluvial soil,Jun,Sep,irrigated,7.8,23.6,113.0,53.4,59.3,Cyto-24
Black Soil,Jul,Oct,rainfed,7.2,25.6,96.2,51.8,47.0,FH-333
Red soil,Jun,Sep,irrigated,7.3,23.8,94.8,52.5,42.0,BS-352
Alluvial soil,Jul,Oct,rainfed,7.9,22.0,90.2,44.8,58.9,FH-333
Black Soil,Jun,Sep,irrigated,8.0,24.7,90.5,48.9,45.0,BS-352
Red soil,Jul,Oct,rainfed,7.2,27.4,86.3,46.1,45.8,BS-352
Alluvial soil,Jun,Sep,irrigated,7.2,29.3,100.2,57.3,48.4,FH-MR2
Black Soil,Jul,Oct,rainfed,7.9,23.5,89.8,41.7,48.6,FH-333
Red soil,Jun,Sep,irrigated,7.2,22.9,88.9,49.3,52.0,FH-333
Alluvial soil,Jul,Oct,rainfed,7.2,21.3,113.5,47.8,58.4,FH-333
Black Soil,Jun,Sep,irrigated,7.7,23.0,106.3,47.3,51.4,FH-1148
Red soil,Jul,Oct,rainfed,7.7,29.3,107.3,47.1,53.9,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.5,24.1,113.1,47.1,54.0,FH-333
Black Soil,Jul,Oct,rainfed,7.0,29.6,114.3,53.0,40.5,Cyto-24
Red soil,Jun,Sep,irrigated,7.2,21.3,82.2,49.4,48.9,FH-333
Alluvial soil,Jul,Oct,rainfed,7.2,26.3,88.4,49.0,46.7,BS-352
Black Soil,Jun,Sep,irrigated,7.1,27.2,97.3,51.0,58.3,Cyto-24
Red soil,Jul,Oct,rainfed,7.5,24.9,91.1,44.4,47.3,FH-333
Alluvial soil,Jun,Sep,irrigated,7.4,28.0,119.5,55.7,43.6,FH-MR2
Black Soil,Jul,Oct,rainfed,7.0,26.0,83.3,47.7,48.6,BS-352
Red soil,Jun,Sep,irrigated,7.1,23.8,105.0,53.6,54.0,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.8,29.8,95.4,55.3,49.4,FH-MR2
Black Soil,Jun,Sep,irrigated,7.1,22.2,112.6,49.4,55.0,FH-333
Red soil,Jul,Oct,rainfed,7.5,29.0,111.3,48.7,43.5,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.8,28.9,104.5,52.6,55.2,FH-1148
Black Soil,Jul,Oct,rainfed,7.5,24.6,89.3,43.8,57.2,FH-333
Red soil,Jun,Sep,irrigated,7.5,29.7,88.2,42.9,46.9,BS-352
Alluvial soil,Jul,Oct,rainfed,7.1,27.5,100.8,40.7,48.6,FH-MR2
Black Soil,Jun,Sep,irrigated,7.6,25.9,114.3,50.5,51.8,Cyto-24
Red soil,Jul,Oct,rainfed,7.4,24.9,107.0,48.9,57.4,FH-333
Alluvial soil,Jun,Sep,irrigated,7.3,23.3,96.4,42.5,53.8,FH-333
Black Soil,Jul,Oct,rainfed,7.8,29.0,81.8,59.6,45.8,FH-1148
Red soil,Jun,Sep,irrigated,7.6,22.0,117.8,46.5,58.5,Cyto-24
Alluvial soil,Jul,Oct,rainfed,7.5,21.1,88.1,50.5,51.0,FH-333
Black Soil,Jun,Sep,irrigated,7.7,27.7,97.2,46.4,53.9,FH-1148
Red soil,Jul,Oct,rainfed,7.8,27.8,86.8,46.2,59.2,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.2,27.2,89.7,53.6,43.7,BS-352
Black Soil,Jul,Oct,rainfed,7.7,21.7,101.2,50.9,55.9,FH-1148
Red soil,Jun,Sep,irrigated,8.0,26.5,97.3,55.1,44.9,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.1,22.8,88.9,47.9,57.8,FH-333
Black Soil,Jun,Sep,irrigated,7.8,24.8,97.0,44.9,52.9,FH-1148
Red soil,Jul,Oct,rainfed,8.0,21.0,84.7,52.8,48.3,BS-352
Alluvial soil,Jun,Sep,irrigated,7.9,29.2,88.8,41.0,46.4,FH-1148
Black Soil,Jul,Oct,rainfed,7.5,22.7,94.1,58.4,59.5,FH-333
Red soil,Jun,Sep,irrigated,7.2,29.7,111.3,46.6,55.3,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.8,25.8,101.6,58.1,50.8,FH-MR2
Black Soil,Jun,Sep,irrigated,7.9,23.2,87.5,59.9,40.6,BS-352
Red soil,Jul,Oct,rainfed,7.9,29.7,102.3,58.7,59.1,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.6,25.0,91.1,48.7,54.9,FH-333
Black Soil,Jul,Oct,rainfed,7.7,23.3,95.0,49.0,52.8,FH-333
Red soil,Jun,Sep,irrigated,7.8,28.6,90.3,40.3,56.3,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.1,24.5,120.0,49.6,42.4,BS-352
Black Soil,Jun,Sep,irrigated,7.8,29.8,88.1,42.8,51.2,FH-1148
Red soil,Jul,Oct,rainfed,7.5,23.0,108.4,44.4,51.1,FH-333
Alluvial soil,Jun,Sep,irrigated,7.4,26.7,95.1,43.6,51.6,FH-MR2
Black Soil,Jul,Oct,rainfed,7.8,29.3,110.8,51.5,46.5,FH-1148
Red soil,Jun,Sep,irrigated,7.3,27.7,87.4,53.6,42.9,BS-352
Alluvial soil,Jul,Oct,rainfed,7.5,26.7,87.6,41.8,57.8,BS-352
Black Soil,Jun,Sep,irrigated,7.3,28.5,83.4,45.6,53.0,BS-352
Red soil,Jul,Oct,rainfed,8.0,28.6,91.9,58.1,43.3,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.5,21.2,112.1,54.6,44.1,FH-MR2
Black Soil,Jul,Oct,rainfed,7.8,25.5,118.6,41.4,43.0,Cyto-24
Red soil,Jun,Sep,irrigated,8.0,21.9,80.3,59.4,48.6,FH-333
Alluvial soil,Jul,Oct,rainfed,7.2,22.9,110.6,52.7,55.0,FH-333
Black Soil,Jun,Sep,irrigated,8.0,24.6,109.6,55.5,51.3,FH-MR2
Red soil,Jul,Oct,rainfed,7.8,25.9,109.9,44.5,54.2,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.5,23.7,103.8,41.9,59.8,FH-333
Black Soil,Jul,Oct,rainfed,7.2,25.3,109.4,42.9,59.9,Cyto-24
Red soil,Jun,Sep,irrigated,7.8,28.6,85.6,53.5,47.7,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.3,25.1,116.9,54.7,41.1,FH-MR2
Black Soil,Jun,Sep,irrigated,7.1,29.8,109.8,51.0,44.3,Cyto-24
Red soil,Jul,Oct,rainfed,7.2,30.0,85.6,52.0,51.5,BS-352
Alluvial soil,Jun,Sep,irrigated,7.7,28.7,119.8,47.9,45.7,FH-1148
Black Soil,Jul,Oct,rainfed,7.8,25.3,82.1,43.3,50.6,BS-352
Red soil,Jun,Sep,irrigated,7.2,26.0,98.2,52.0,54.5,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.9,24.7,96.4,42.0,49.4,FH-333
Black Soil,Jun,Sep,irrigated,7.8,23.5,102.8,55.6,56.5,Cyto-24
Red soil,Jul,Oct,rainfed,7.1,24.9,114.9,55.7,54.9,Cyto-24
Alluvial soil,Jun,Sep,irrigated,7.4,23.0,112.6,44.4,55.4,FH-333
Black Soil,Jul,Oct,rainfed,7.9,24.5,90.7,55.2,45.3,FH-MR2
Red soil,Jun,Sep,irrigated,7.4,25.6,106.8,58.8,56.2,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.4,28.6,93.9,43.3,41.9,BS-352
Black Soil,Jun,Sep,irrigated,8.0,22.1,100.4,59.8,54.2,FH-MR2
Red soil,Jul,Oct,rainfed,7.9,27.8,98.9,57.0,46.1,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.7,27.7,110.0,47.2,44.2,FH-1148
Black Soil,Jul,Oct,rainfed,7.3,25.3,89.1,59.9,46.9,BS-352
Red soil,Jun,Sep,irrigated,7.3,24.7,109.5,59.4,49.3,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.3,28.8,105.1,42.0,42.4,BS-352
Black Soil,Jun,Sep,irrigated,7.3,21.0,80.4,56.8,50.5,FH-MR2
Red soil,Jul,Oct,rainfed,7.9,23.1,92.4,47.8,55.6,FH-333
Alluvial soil,Jun,Sep,irrigated,7.4,25.7,104.3,58.7,49.2,FH-MR2
Black Soil,Jul,Oct,rainfed,7.3,22.0,94.8,51.4,53.1,FH-333
Red soil,Jun,Sep,irrigated,7.6,22.9,113.8,50.2,57.1,Cyto-24
Alluvial soil,Jul,Oct,rainfed,8.0,25.1,105.7,55.3,46.6,FH-MR2
Black Soil,Jun,Sep,irrigated,8.0,28.6,86.9,47.8,46.3,FH-1148
Red soil,Jul,Oct,rainfed,7.3,27.4,103.2,56.5,53.8,FH-MR2
Alluvial soil,Jun,Sep,irrigated,7.7,24.3,87.7,57.4,42.1,FH-MR2
Black Soil,Jul,Oct,rainfed,7.3,26.7,113.9,52.8,46.2,Cyto-24
Red soil,Jun,Sep,irrigated,7.4,27.0,105.3,52.0,52.0,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.8,28.2,113.6,42.6,47.3,Cyto-24
Black Soil,Jun,Sep,irrigated,7.9,22.1,102.4,41.3,44.2,FH-333
Red soil,Jul,Oct,rainfed,8.0,28.3,118.8,45.2,50.5,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.5,21.1,106.6,54.5,49.0,FH-MR2
Black Soil,Jul,Oct,rainfed,7.6,26.0,106.8,56.2,49.6,FH-MR2
Red soil,Jun,Sep,irrigated,7.4,28.6,85.8,55.1,56.2,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.1,25.6,116.6,47.6,51.8,FH-333
Black Soil,Jun,Sep,irrigated,7.4,26.3,103.6,58.8,51.7,FH-MR2
Red soil,Jul,Oct,rainfed,7.9,26.2,98.4,46.9,44.5,BS-352
Alluvial soil,Jun,Sep,irrigated,7.1,23.5,110.9,42.6,52.9,FH-333
Black Soil,Jul,Oct,rainfed,7.3,29.9,102.6,57.9,53.7,FH-MR2
Red soil,Jun,Sep,irrigated,7.0,22.0,106.0,42.9,40.2,FH-333
Alluvial soil,Jul,Oct,rainfed,7.3,24.3,110.0,47.4,57.1,FH-333
Black Soil,Jun,Sep,irrigated,7.6,27.1,113.9,58.8,49.4,FH-MR2
Red soil,Jul,Oct,rainfed,7.2,24.4,97.8,55.6,41.1,FH-MR2
Alluvial soil,Jun,Sep,irrigated,7.1,29.0,105.9,41.1,48.4,FH-1148
Black Soil,Jul,Oct,rainfed,7.0,27.6,119.5,44.0,43.7,BS-352
Red soil,Jun,Sep,irrigated,7.6,30.0,112.1,56.5,48.5,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.8,22.8,105.5,58.4,47.6,FH-MR2
Black Soil,Jun,Sep,irrigated,7.1,21.1,81.9,49.8,51.8,FH-333
Red soil,Jul,Oct,rainfed,7.1,22.6,83.1,58.8,51.3,FH-333
Alluvial soil,Jun,Sep,irrigated,7.5,24.3,115.6,57.1,47.2,FH-MR2
Black Soil,Jul,Oct,rainfed,7.7,22.9,106.7,40.4,54.3,FH-1148
Red soil,Jun,Sep,irrigated,7.9,21.4,96.1,44.4,41.3,BS-352
Alluvial soil,Jul,Oct,rainfed,8.0,24.4,96.8,53.7,47.4,FH-333
Black Soil,Jun,Sep,irrigated,7.4,24.3,94.6,40.9,54.2,FH-333
Red soil,Jul,Oct,rainfed,7.0,29.0,101.0,45.9,42.6,FH-1148
